テストプロシージャ名	大項目	中項目	小項目	項目名	出力内容
CFO_CAL_1Bag	-	-	-	名前	CFO_CAL_1Bag
CFO_CAL_1Bag	-	-	-	テスト種別	Standard
CFO_CAL_1Bag	-	-	-	規制	Example
CFO_CAL_1Bag	-	-	-	排出重量重み付け方法	
CFO_CAL_1Bag	-	-	-	速度単位	km/h
CFO_CAL_1Bag	-	-	-	RCB補正基準（率）	0
CFO_CAL_1Bag	-	-	-	ダウンスケーリング	
CFO_CAL_1Bag	-	-	-	最大合計休憩時間（min）	0
CFO_CAL_1Bag	-	-	-	ドライバーズエイド許容幅の表示	TRUE
CFO_CAL_1Bag	-	-	-	ドライバーズエイド基準速度の表示	TRUE
CFO_CAL_1Bag	-	-	-	ドライバーズエイドレイアウト	DriveUnit
CFO_CAL_1Bag	-	-	-	車両冷却ファン制御モード	一定速度制御
CFO_CAL_1Bag	-	-	-	ドライバーズエイド時間スケールの最小値(s)	-10
CFO_CAL_1Bag	-	-	-	ドライバーズエイド時間スケールの最大値(s)	20
CFO_CAL_1Bag	-	-	-	コーストダウン設定	
CFO_CAL_1Bag	-	-	-	ドライバーズエイド許容幅をトレースで定義	FALSE
CFO_CAL_1Bag	-	-	-	運転エラーの回数制限	FALSE
CFO_CAL_1Bag	-	-	-	運転エラー最大許容回数	10
CFO_CAL_1Bag	ドライブユニット設定1	-	-	名前	DriveUnit
CFO_CAL_1Bag	ドライブユニット設定1	-	-	速度許容差(km/h)	2
CFO_CAL_1Bag	ドライブユニット設定1	-	-	時間許容差(s)	1
CFO_CAL_1Bag	ドライブユニット設定1	-	-	時間許容差外時間(s)	0
CFO_CAL_1Bag	ドライブユニット設定1	-	-	トレースの開始	ペンダントStart
CFO_CAL_1Bag	ドライブユニット設定1	-	-	ブロックの終了	トレース終了
CFO_CAL_1Bag	ドライブユニット設定1	-	-	ドライバーズエイド最低速度（km/h）	0
CFO_CAL_1Bag	ドライブユニット設定1	-	-	ドライバーズエイド最高速度（km/h）	0
CFO_CAL_1Bag	ドライブユニット設定1	トレース	トレース1	トレース名	CFO CAL
CFO_CAL_1Bag	ドライブユニット設定1	トレース	トレース1	トレース時間	300
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	-	トリガー	PendantButton
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	-	PendantButton	Start
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	-	DelayTime（s）	0
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	開始　Emission Sample	サンプル番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	開始　Emission Sample	バッグペア番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	開始　Emission Sample	PMフィルタ番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	開始　Emission Sample	NMOGサンプラー番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	開始　Emission Sample	サンプルタイプ	Standard
CFO_CAL_1Bag	ドライブユニット設定1	イベント1	開始　Emission Sample	理論距離(km)	0
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	-	トリガー	TraceFinish
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	-	時間(s)	0
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	終了　Emission Sample	サンプル番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	終了　Emission Sample	バッグペア番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	終了　Emission Sample	PMフィルタ番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	終了　Emission Sample	NMOGサンプラー番号	1
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	終了　Emission Sample	サンプルタイプ	Standard
CFO_CAL_1Bag	ドライブユニット設定1	イベント2	終了　Emission Sample	理論距離(km)	0
CFO_CAL_1Bag	カスタムフィールド	-	-	テストモードコード	9999
CFO_CAL_1Bag	カスタムフィールド	-	-	テストモードグループコード	9999
CFO_CAL_1Bag	カスタムフィールド	-	-	テストモード名	
CFO_CAL_1Bag	カスタムフィールド	-	-	テストモードファイル名	CFO_CAL_1BAG
CFO_CAL_1Bag	カスタムフィールド	-	-	NETLAS帳票名	netlas_CFO_CAL.xls
CFO_CAL_1Bag	カスタム情報	サンプル時間	-	BAGサンプル時間1	300
CFO_CAL_1Bag	カスタム情報	トレース	トレース1	トレース名	CFO CAL
CFO_CAL_1Bag	カスタム情報	トレース	トレース1	トレース時間	300
CFO_CAL_3Bag	-	-	-	名前	CFO_CAL_3Bag
CFO_CAL_3Bag	-	-	-	テスト種別	Standard
CFO_CAL_3Bag	-	-	-	規制	Example
CFO_CAL_3Bag	-	-	-	排出重量重み付け方法	
CFO_CAL_3Bag	-	-	-	速度単位	km/h
CFO_CAL_3Bag	-	-	-	RCB補正基準（率）	0
CFO_CAL_3Bag	-	-	-	ダウンスケーリング	
CFO_CAL_3Bag	-	-	-	最大合計休憩時間（min）	0
CFO_CAL_3Bag	-	-	-	ドライバーズエイド許容幅の表示	TRUE
CFO_CAL_3Bag	-	-	-	ドライバーズエイド基準速度の表示	TRUE
CFO_CAL_3Bag	-	-	-	ドライバーズエイドレイアウト	DriveUnit
CFO_CAL_3Bag	-	-	-	車両冷却ファン制御モード	一定速度制御
CFO_CAL_3Bag	-	-	-	ドライバーズエイド時間スケールの最小値(s)	-10
CFO_CAL_3Bag	-	-	-	ドライバーズエイド時間スケールの最大値(s)	20
CFO_CAL_3Bag	-	-	-	コーストダウン設定	
CFO_CAL_3Bag	-	-	-	ドライバーズエイド許容幅をトレースで定義	FALSE
CFO_CAL_3Bag	-	-	-	運転エラーの回数制限	FALSE
CFO_CAL_3Bag	-	-	-	運転エラー最大許容回数	10
